Locality_Name,DHS_Region,pop,GP,Pharmacy_Sites
BAIRNSDALE,Gippsland,429.551792,4,3
BAIRNSDALE,Gippsland,1.145336142,0,0
BENALLA,Hume,408.5638765,3,3
BENALLA,Hume,2.141024198,0,0
BENDIGO,Loddon Mallee,1143.938458,11,7
BENDIGO,Loddon Mallee,3.190242269,1,0
CASTLEMAINE,Loddon Mallee,328.1992762,6,4
CASTLEMAINE,Loddon Mallee,4.571828676,0,0
CORIO,Barwon-South Western ,1292.078665,3,1
ECHUCA,Loddon Mallee,348.4126351,5,4
ECHUCA,Loddon Mallee,3.048736312,0,0
HAMILTON,Barwon-South Western ,401.2363928,2,3
HAMILTON,Barwon-South Western ,0.840565125,0,0
HORSHAM,Grampians,491.7358676,7,5
HORSHAM,Grampians,1.056785089,0,0
LARA,Barwon-South Western ,831.220859,2,1
LARA,Barwon-South Western ,10.15458592,0,0
MILDURA,Loddon Mallee,797.6642956,11,6
MILDURA,Loddon Mallee,0.666811633,0,0
MORWELL,Gippsland,1109.783397,8,3
MORWELL,Gippsland,5.95928529,0,0
NORTH BENDIGO,Loddon Mallee,855.1160421,1,2
NORTH GEELONG,Barwon-South Western ,554.1870369,0,0
PORTLAND,Barwon-South Western ,312.8966552,7,2
PORTLAND,Barwon-South Western ,3.606589743,0,0
SEYMOUR,Hume,458.1435023,3,2
SEYMOUR,Hume,2.828915003,1,0
SWAN HILL,Loddon Mallee,478.4474337,2,2
SWAN HILL,Loddon Mallee,0.976661051,0,0
TORQUAY,Barwon-South Western ,843.1578326,2,1
TORQUAY,Barwon-South Western ,15.53122635,2,0
TRARALGON,Gippsland,1048.579239,6,3
TRARALGON,Gippsland,6.583439647,1,1
WARRAGUL,Gippsland,703.3468719,6,4
WARRAGUL,Gippsland,10.50008495,0,0
WARRNAMBOOL,Barwon-South Western ,892.2780157,8,7
WARRNAMBOOL,Barwon-South Western ,892.2780157,8,7
WARRNAMBOOL,Barwon-South Western ,3.346737147,0,0
WARRNAMBOOL,Barwon-South Western ,3.346737147,0,0
WODONGA,Hume,864.1543478,8,4
WODONGA,Hume,6.826557836,1,0
